productoid,nombre,categoria,precio,stock
1,Camiseta Basica Algodon,Camisetas,35000,120
2,Jeans Slim Fit Azul,Pantalones,120000,85
3,Chaqueta Cuero Sintetico,Chaquetas,250000,30
4,Vestido Floreado Verano,Vestidos,95000,45
5,Sudadera con Capucha,Deportiva,110000,60
6,Gorra Deportiva Negra,Accesorios,45000,100
7,Zapatillas Running Pro,Calzado,320000,25
8,Calcetines Pack x3,Accesorios,25000,200
9,Cinturon Cuero Cafe,Accesorios,55000,50
10,Blusa Seda Blanca,Blusas,85000,40
11,Pantalon Tela Oficina,Pantalones,135000,55
12,Shorts de Mezclilla,Pantalones,75000,70
13,Sueter Lana Gris,Sueteres,145000,35
14,Bufanda Tejida Invierno,Accesorios,38000,90
15,Bermuda Algodon Beige,Pantalones,65000,65
16,Tenis Urbanos Blancos,Calzado,180000,40
17,Camisa Formal Slim,Camisas,98000,50
18,Pijama Dos Piezas,Interior,60000,80
19,Bañador Hombre Estampado,Trajes de Baño,55000,110
20,Bikini Dos Piezas Azul,Trajes de Baño,85000,45
21,Abrigo Largo Paño,Chaquetas,450000,15
22,Leggings Deportivos,Deportiva,75000,95
23,Top Deportivo Mujer,Deportiva,45000,120
24,Sandalias de Playa,Calzado,35000,150
25,Botas de Cuero Cafe,Calzado,290000,20
26,Corbata Seda Roja,Accesorios,35000,60
27,Guantes de Lana,Accesorios,22000,85
28,Sombrero Playero,Accesorios,48000,40
29,Mono Largo Elegante,Vestidos,160000,25
30,Camiseta Oversize Grafica,Camisetas,55000,110
31,Chaqueta Impermeable,Chaquetas,180000,40
32,Falda Plisada Media,Faldas,85000,50
33,Mocasines Cuero Negro,Calzado,210000,30
34,Reloj Analogico Minimal,Accesorios,150000,25
35,Billetera Cuero Hombre,Accesorios,65000,75
36,Bolso de Mano Cuero,Accesorios,220000,20
37,Gafas de Sol Polarizadas,Accesorios,110000,55
38,Chaqueta Denim Clasica,Chaquetas,165000,45
39,Camiseta Polo Blanca,Camisetas,65000,90
40,Pantalon Jogger Gris,Pantalones,85000,75
41,Chaleco Acolchado,Chaquetas,140000,35
42,Vestido de Gala Largo,Vestidos,550000,10
43,Ropa Interior Pack x5,Interior,45000,150
44,Botines Tacon Mujer,Calzado,240000,25
45,Camiseta Termica Blanca,Deportiva,42000,80
46,Pashmina Estampada,Accesorios,35000,100
47,Pantalones Cargo Verde,Pantalones,145000,50
48,Sueter Cuello V Azul,Sueteres,95000,60
49,Zapatos Formales Hombre,Calzado,280000,35
50,Falda de Cuero Negra,Faldas,115000,30
51,Camisa de Lino Verano,Camisas,125000,45
52,Body Encaje Negro,Interior,75000,60
53,Sudadera Pantalon Combo,Deportiva,180000,40
54,Bolso Morral Viaje,Accesorios,195000,25
55,Paraguas Plegable Negro,Accesorios,35000,120
56,Zapatillas Basket Pro,Calzado,380000,20
57,Jeans Rotos Modernos,Pantalones,135000,65
58,Camiseta Tirantes Mujer,Camisetas,28000,150
59,Chaqueta Bomber Negra,Chaquetas,175000,40
60,Blazer Casual Gris,Chaquetas,245000,30
61,Shorts Deportivos Gym,Deportiva,55000,90
62,Medias Veladas Pack,Interior,18000,200
63,Cartera Pequeña Fiesta,Accesorios,85000,45
64,Vestido Midi Casual,Vestidos,125000,40
65,Tenis Skate Negros,Calzado,165000,55
66,Camisa Cuadros Franela,Camisas,85000,75
67,Poncho Tejido Artesanal,Sueteres,130000,20
68,Sombrero tipo Fedora,Accesorios,95000,15
69,Gorra Beisbol Roja,Accesorios,45000,80
70,Pantalones de Pana,Pantalones,155000,35
71,Vestido de Baño Enterizo,Trajes de Baño,95000,50
72,Chanclas de Baño,Calzado,25000,180
73,Bata de Baño Algodon,Hogar,110000,40
74,Pantalones Palazzo,Pantalones,125000,45
75,Camiseta Manga Larga,Camisetas,48000,100
76,Chaqueta Parka Invierno,Chaquetas,380000,20
77,Botas Pantaneras,Calzado,95000,60
78,Cinturon Tejido Casual,Accesorios,32000,90
79,Bolso Tote de Tela,Accesorios,25000,150
80,Sueter Cuello Alto,Sueteres,105000,45
81,Zapatos Oxford Cafe,Calzado,260000,25
82,Falda Tubo Oficina,Faldas,90000,40
83,Camisa Oxford Celeste,Camisas,95000,60
84,Top Encaje Blanco,Blusas,55000,70
85,Jeans Rectos Clasicos,Pantalones,110000,100
86,Capa Impermeable Lluvia,Chaquetas,45000,130
87,Zapatos de Plataforma,Calzado,195000,35
88,Bufanda de Seda,Accesorios,65000,50
89,Guantes de Cuero,Accesorios,120000,30
90,Gafas de Lectura Moda,Accesorios,85000,45
91,Camiseta Cuello V Pack,Camisetas,65000,110
92,Pantalones de Cuero,Pantalones,220000,20
93,Chaqueta Militar Verde,Chaquetas,195000,35
94,Bikini Cintura Alta,Trajes de Baño,88000,40
95,Mocasines Gamuza Azul,Calzado,230000,25
96,Maleta de Mano Ruedas,Accesorios,350000,15
97,Jeans Negros Ajustados,Pantalones,120000,80
98,Sueter Oversize Punto,Sueteres,135000,40
99,Blusa de Gasa Estampada,Blusas,78000,55
100,Botas de Combate Negras,Calzado,310000,30